节点,step_key,归属角色,出现次数,完成率%,填清单率%,逾期未完成
PackingList·CI·报关单制作,ci_made,merchandiser,25,0,0,3
产前样·大货原辅料品质核,pps_procurement_check,procurement,2,0,0,0
初上线·跟单确认,initial_line_check,production,2,0,0,0
发货出运,shipment_execute,logistics,121,24,0,61
收款完成,payment_received,finance,185,26,0,63
国内送仓完成,domestic_delivery,logistics,65,32,0,31
成品入库,finished_goods_warehouse,logistics,73,33,0,42
核准出运,finance_shipment_approval,finance,85,34,0,49
业务尾查,final_qc_sales_check,sales,44,39,11,5
中期验货,mid_qc_sales_check,merchandiser,42,40,12,8
船样寄送,shipping_sample_send,sales,110,42,0,43
包装方式确认,packing_method_confirmed,merchandiser,171,44,11,63
剩余物料回收,leftover_collection,production,73,44,0,35
验货/放行,inspection_release,merchandiser,152,45,7,61
尾查,final_qc_check,merchandiser,140,46,13,65
报关安排出运,customs_export,merchandiser,87,47,0,37
工厂完成,factory_completion,merchandiser,130,50,0,58
订舱完成,booking_done,sales,87,51,0,34
中查,mid_qc_check,merchandiser,126,52,21,56
生产启动/开裁,production_kickoff,production,138,54,20,62
产前会,pre_production_meeting,merchandiser,124,65,0,44
原辅料到货验收,materials_received_inspected,merchandiser,124,69,10,39
头样寄出,dev_sample_sent,sales,4,75,0,1
头样客户确认,dev_sample_customer_confirm,sales,4,75,0,1
二次样寄出,dev_sample_revision_sent,sales,4,75,0,1
二次样客户确认,dev_sample_revision_confirm,sales,4,75,0,1
头样制作,dev_sample_making,production,4,75,0,1
二次样制作,dev_sample_revision,production,4,75,0,1
产前样准备完成,pre_production_sample_ready,production,119,76,4,26
采购下单,procurement_order_placed,procurement,184,77,0,40
PI制作·客户确认,pi_confirmed,merchandiser,25,80,0,5
财务审核,finance_approval,finance,154,82,8,27
PO确认,po_confirmed,sales,185,82,46,34
工厂匹配确认,factory_confirmed,production_manager,124,85,31,18
产前样确认,pre_production_sample_approved,merchandiser,159,86,0,14
产前样寄出,pre_production_sample_sent,sales,144,88,0,15
生产预评估,bulk_materials_confirmed,production_manager,124,90,10,13
订单评审会,order_kickoff_meeting,sales,149,93,43,10
生产单·原辅料单制作,production_order_upload,merchandiser,149,95,54,7
加工费确认,processing_fee_confirmed,production_manager,124,97,0,4
BOM/采购预评估,order_docs_bom_complete,procurement,124,98,48,3
生产任务单下发,mo_released,sales,16,100,0,0
产前会,pre_prod_meeting,sales,16,100,0,0
